CountryCode,Country,Continent,Region,SurfaceArea,Population,LifeExpectancy
ABW,Aruba,North America,Caribbean,193.0,103000,78.4
AFG,Afghanistan,Asia,Southern and Central Asia,652090.0,22720000,45.9
AGO,Angola,Africa,Central Africa,1246700.0,12878000,38.3
AIA,Anguilla,North America,Caribbean,96.0,8000,76.1
ALB,Albania,Europe,Southern Europe,28748.0,3401200,71.6
AND,Andorra,Europe,Southern Europe,468.0,78000,83.5
ANT,Netherlands Antilles,North America,Caribbean,800.0,217000,74.7
ARE,United Arab Emirates,Asia,Middle East,83600.0,2441000,74.1
ARG,Argentina,South America,South America,2780400.0,37032000,75.1
ARM,Armenia,Asia,Middle East,29800.0,3520000,66.4
ASM,American Samoa,Oceania,Polynesia,199.0,68000,75.1
ATG,Antigua and Barbuda,North America,Caribbean,442.0,68000,70.5
AUS,Australia,Oceania,Australia and New Zealand,7741220.0,18886000,79.8
AUT,Austria,Europe,Western Europe,83859.0,8091800,77.7
AZE,Azerbaijan,Asia,Middle East,86600.0,7734000,62.9
BDI,Burundi,Africa,Eastern Africa,27834.0,6695000,46.2
BEL,Belgium,Europe,Western Europe,30518.0,10239000,77.8
BEN,Benin,Africa,Western Africa,112622.0,6097000,50.2
BFA,Burkina Faso,Africa,Western Africa,274000.0,11937000,46.7
BGD,Bangladesh,Asia,Southern and Central Asia,143998.0,129155000,60.2
BGR,Bulgaria,Europe,Eastern Europe,110994.0,8190900,70.9
BHR,Bahrain,Asia,Middle East,694.0,617000,73.0
BHS,Bahamas,North America,Caribbean,13878.0,307000,71.1
BIH,Bosnia and Herzegovina,Europe,Southern Europe,51197.0,3972000,71.5
BLR,Belarus,Europe,Eastern Europe,207600.0,10236000,68.0
BLZ,Belize,North America,Central America,22696.0,241000,70.9
BMU,Bermuda,North America,North America,53.0,65000,76.9
BOL,Bolivia,South America,South America,1098581.0,8329000,63.7
BRA,Brazil,South America,South America,8547403.0,170115000,62.9
BRB,Barbados,North America,Caribbean,430.0,270000,73.0
BRN,Brunei,Asia,Southeast Asia,5765.0,328000,73.6
BTN,Bhutan,Asia,Southern and Central Asia,47000.0,2124000,52.4
BWA,Botswana,Africa,Southern Africa,581730.0,1622000,39.3
CAF,Central African Republic,Africa,Central Africa,622984.0,3615000,44.0
CAN,Canada,North America,North America,9970610.0,31147000,79.4
CHE,Switzerland,Europe,Western Europe,41284.0,7160400,79.6
CHL,Chile,South America,South America,756626.0,15211000,75.7
CHN,China,Asia,Eastern Asia,9572900.0,1277558000,71.4
CIV,Côte d’Ivoire,Africa,Western Africa,322463.0,14786000,45.2
CMR,Cameroon,Africa,Central Africa,475442.0,15085000,54.8
COD,"Congo, The Democratic Republic of the",Africa,Central Africa,2344858.0,51654000,48.8
COG,Congo,Africa,Central Africa,342000.0,2943000,47.4
COK,Cook Islands,Oceania,Polynesia,236.0,20000,71.1
COL,Colombia,South America,South America,1138914.0,42321000,70.3
COM,Comoros,Africa,Eastern Africa,1862.0,578000,60.0
CPV,Cape Verde,Africa,Western Africa,4033.0,428000,68.9
CRI,Costa Rica,North America,Central America,51100.0,4023000,75.8
CUB,Cuba,North America,Caribbean,110861.0,11201000,76.2
CYM,Cayman Islands,North America,Caribbean,264.0,38000,78.9
CYP,Cyprus,Asia,Middle East,9251.0,754700,76.7
CZE,Czech Republic,Europe,Eastern Europe,78866.0,10278100,74.5
DEU,Germany,Europe,Western Europe,357022.0,82164700,77.4
DJI,Djibouti,Africa,Eastern Africa,23200.0,638000,50.8
DMA,Dominica,North America,Caribbean,751.0,71000,73.4
DNK,Denmark,Europe,Nordic Countries,43094.0,5330000,76.5
DOM,Dominican Republic,North America,Caribbean,48511.0,8495000,73.2
DZA,Algeria,Africa,Northern Africa,2381741.0,31471000,69.7
ECU,Ecuador,South America,South America,283561.0,12646000,71.1
EGY,Egypt,Africa,Northern Africa,1001449.0,68470000,63.3
ERI,Eritrea,Africa,Eastern Africa,117600.0,3850000,55.8
ESH,Western Sahara,Africa,Northern Africa,266000.0,293000,49.8
ESP,Spain,Europe,Southern Europe,505992.0,39441700,78.8
EST,Estonia,Europe,Baltic Countries,45227.0,1439200,69.5
ETH,Ethiopia,Africa,Eastern Africa,1104300.0,62565000,45.2
FIN,Finland,Europe,Nordic Countries,338145.0,5171300,77.4
FJI,Fiji Islands,Oceania,Melanesia,18274.0,817000,67.9
FRA,France,Europe,Western Europe,551500.0,59225700,78.8
FRO,Faroe Islands,Europe,Nordic Countries,1399.0,43000,78.4
FSM,"Micronesia, Federated States of",Oceania,Micronesia,702.0,119000,68.6
GAB,Gabon,Africa,Central Africa,267668.0,1226000,50.1
GBR,United Kingdom,Europe,British Islands,242900.0,59623400,77.7
GEO,Georgia,Asia,Middle East,69700.0,4968000,64.5
GHA,Ghana,Africa,Western Africa,238533.0,20212000,57.4
GIB,Gibraltar,Europe,Southern Europe,6.0,25000,79.0
GIN,Guinea,Africa,Western Africa,245857.0,7430000,45.6
GLP,Guadeloupe,North America,Caribbean,1705.0,456000,77.0
GMB,Gambia,Africa,Western Africa,11295.0,1305000,53.2
GNB,Guinea-Bissau,Africa,Western Africa,36125.0,1213000,49.0
GNQ,Equatorial Guinea,Africa,Central Africa,28051.0,453000,53.6
GRC,Greece,Europe,Southern Europe,131626.0,10545700,78.4
GRD,Grenada,North America,Caribbean,344.0,94000,64.5
GRL,Greenland,North America,North America,2166090.0,56000,68.1
GTM,Guatemala,North America,Central America,108889.0,11385000,66.2
GUF,French Guiana,South America,South America,90000.0,181000,76.1
GUM,Guam,Oceania,Micronesia,549.0,168000,77.8
GUY,Guyana,South America,South America,214969.0,861000,64.0
HKG,Hong Kong,Asia,Eastern Asia,1075.0,6782000,79.5
HND,Honduras,North America,Central America,112088.0,6485000,69.9
HRV,Croatia,Europe,Southern Europe,56538.0,4473000,73.7
HTI,Haiti,North America,Caribbean,27750.0,8222000,49.2
HUN,Hungary,Europe,Eastern Europe,93030.0,10043200,71.4
IDN,Indonesia,Asia,Southeast Asia,1904569.0,212107000,68.0
IND,India,Asia,Southern and Central Asia,3287263.0,1013662000,62.5
IRL,Ireland,Europe,British Islands,70273.0,3775100,76.8
IRN,Iran,Asia,Southern and Central Asia,1648195.0,67702000,69.7
IRQ,Iraq,Asia,Middle East,438317.0,23115000,66.5
ISL,Iceland,Europe,Nordic Countries,103000.0,279000,79.4
ISR,Israel,Asia,Middle East,21056.0,6217000,78.6
ITA,Italy,Europe,Southern Europe,301316.0,57680000,79.0
JAM,Jamaica,North America,Caribbean,10990.0,2583000,75.2
JOR,Jordan,Asia,Middle East,88946.0,5083000,77.4
JPN,Japan,Asia,Eastern Asia,377829.0,126714000,80.7
KAZ,Kazakstan,Asia,Southern and Central Asia,2724900.0,16223000,63.2
KEN,Kenya,Africa,Eastern Africa,580367.0,30080000,48.0
KGZ,Kyrgyzstan,Asia,Southern and Central Asia,199900.0,4699000,63.4
KHM,Cambodia,Asia,Southeast Asia,181035.0,11168000,56.5
KIR,Kiribati,Oceania,Micronesia,726.0,83000,59.8
KNA,Saint Kitts and Nevis,North America,Caribbean,261.0,38000,70.7
KOR,South Korea,Asia,Eastern Asia,99434.0,46844000,74.4
KWT,Kuwait,Asia,Middle East,17818.0,1972000,76.1
LAO,Laos,Asia,Southeast Asia,236800.0,5433000,53.1
LBN,Lebanon,Asia,Middle East,10400.0,3282000,71.3
LBR,Liberia,Africa,Western Africa,111369.0,3154000,51.0
LBY,Libyan Arab Jamahiriya,Africa,Northern Africa,1759540.0,5605000,75.5
LCA,Saint Lucia,North America,Caribbean,622.0,154000,72.3
LIE,Liechtenstein,Europe,Western Europe,160.0,32300,78.8
LKA,Sri Lanka,Asia,Southern and Central Asia,65610.0,18827000,71.8
LSO,Lesotho,Africa,Southern Africa,30355.0,2153000,50.8
LTU,Lithuania,Europe,Baltic Countries,65301.0,3698500,69.1
LUX,Luxembourg,Europe,Western Europe,2586.0,435700,77.1
LVA,Latvia,Europe,Baltic Countries,64589.0,2424200,68.4
MAC,Macao,Asia,Eastern Asia,18.0,473000,81.6
MAR,Morocco,Africa,Northern Africa,446550.0,28351000,69.1
MCO,Monaco,Europe,Western Europe,1.5,34000,78.8
MDA,Moldova,Europe,Eastern Europe,33851.0,4380000,64.5
MDG,Madagascar,Africa,Eastern Africa,587041.0,15942000,55.0
MDV,Maldives,Asia,Southern and Central Asia,298.0,286000,62.2
MEX,Mexico,North America,Central America,1958201.0,98881000,71.5
MHL,Marshall Islands,Oceania,Micronesia,181.0,64000,65.5
MKD,Macedonia,Europe,Southern Europe,25713.0,2024000,73.8
MLI,Mali,Africa,Western Africa,1240192.0,11234000,46.7
MLT,Malta,Europe,Southern Europe,316.0,380200,77.9
MMR,Myanmar,Asia,Southeast Asia,676578.0,45611000,54.9
MNG,Mongolia,Asia,Eastern Asia,1566500.0,2662000,67.3
MNP,Northern Mariana Islands,Oceania,Micronesia,464.0,78000,75.5
MOZ,Mozambique,Africa,Eastern Africa,801590.0,19680000,37.5
