CountryCode,Language,Percentage
ABW,Dutch,5.3
ABW,English,9.5
ABW,Papiamento,76.7
ABW,Spanish,7.4
AFG,Balochi,0.9
AFG,Dari,32.1
AFG,Pashto,52.4
AFG,Turkmenian,1.9
AFG,Uzbek,8.8
AGO,Ambo,2.4
AGO,Chokwe,4.2
AGO,Kongo,13.2
AGO,Luchazi,2.4
AGO,Luimbe-nganguela,5.4
AGO,Luvale,3.6
AGO,Mbundu,21.6
AGO,Nyaneka-nkhumbi,5.4
AGO,Ovimbundu,37.2
AIA,English,0.0
ALB,Albaniana,97.9
ALB,Greek,1.8
ALB,Macedonian,0.1
AND,Catalan,32.3
AND,French,6.2
AND,Portuguese,10.8
AND,Spanish,44.6
ANT,Dutch,0.0
ANT,English,7.8
ANT,Papiamento,86.2
ARE,Arabic,42.0
ARE,Hindi,0.0
ARG,Indian Languages,0.3
ARG,Italian,1.7
ARG,Spanish,96.8
ARM,Armenian,93.4
ARM,Azerbaijani,2.6
ASM,English,3.1
ASM,Samoan,90.6
ASM,Tongan,3.1
ATG,Creole English,95.7
ATG,English,0.0
AUS,Arabic,1.0
AUS,Canton Chinese,1.1
AUS,English,81.2
AUS,German,0.6
AUS,Greek,1.6
AUS,Italian,2.2
AUS,Serbo-Croatian,0.6
AUS,Vietnamese,0.8
AUT,Czech,0.2
AUT,German,92.0
AUT,Hungarian,0.4
AUT,Polish,0.2
AUT,Romanian,0.2
AUT,Serbo-Croatian,2.2
AUT,Slovene,0.4
AUT,Turkish,1.5
AZE,Armenian,2.0
AZE,Azerbaijani,89.0
AZE,Lezgian,2.3
AZE,Russian,3.0
BDI,French,0.0
BDI,Kirundi,98.1
BDI,Swahili,0.0
BEL,Arabic,1.6
BEL,Dutch,59.2
BEL,French,32.6
BEL,German,1.0
BEL,Italian,2.4
BEL,Turkish,0.9
BEN,Adja,11.1
BEN,Aizo,8.7
BEN,Bariba,8.7
BEN,Fon,39.8
BEN,Ful,5.6
BEN,Joruba,12.2
BEN,Somba,6.7
BFA,Busansi,3.5
BFA,Dagara,3.1
BFA,Dyula,2.6
BFA,Ful,9.7
BFA,Gurma,5.7
BFA,Mossi,50.2
BGD,Bengali,97.7
BGD,Chakma,0.4
BGD,Garo,0.1
BGD,Khasi,0.1
BGD,Marma,0.2
BGD,Santhali,0.1
BGD,Tripuri,0.1
BGR,Bulgariana,83.2
BGR,Macedonian,2.6
BGR,Romani,3.7
BGR,Turkish,9.4
BHR,Arabic,67.7
BHR,English,0.0
BHS,Creole English,89.7
BHS,Creole French,10.3
BIH,Serbo-Croatian,99.2
BLR,Belorussian,65.6
BLR,Polish,0.6
BLR,Russian,32.0
BLR,Ukrainian,1.3
BLZ,English,50.8
BLZ,Garifuna,6.8
BLZ,Maya Languages,9.6
BLZ,Spanish,31.6
BMU,English,100.0
BOL,Aimará,3.2
BOL,Guaraní,0.1
BOL,Ketšua,8.1
BOL,Spanish,87.7
BRA,German,0.5
BRA,Indian Languages,0.2
BRA,Italian,0.4
BRA,Japanese,0.4
BRA,Portuguese,97.5
BRB,Bajan,95.1
BRB,English,0.0
BRN,Chinese,9.3
BRN,English,3.1
BRN,Malay,45.5
BRN,Malay-English,28.8
BTN,Asami,15.2
BTN,Dzongkha,50.0
BTN,Nepali,34.8
BWA,Khoekhoe,2.5
BWA,Ndebele,1.3
BWA,San,3.5
BWA,Shona,12.3
BWA,Tswana,75.5
CAF,Banda,23.5
CAF,Gbaya,23.8
CAF,Mandjia,14.8
CAF,Mbum,6.4
CAF,Ngbaka,7.5
CAF,Sara,6.4
CAN,Chinese,2.5
CAN,Dutch,0.5
CAN,English,60.4
CAN,Eskimo Languages,0.1
CAN,French,23.4
CAN,German,1.6
CAN,Italian,1.7
CAN,Polish,0.7
CAN,Portuguese,0.7
CAN,Punjabi,0.7
CAN,Spanish,0.7
CAN,Ukrainian,0.6
CCK,English,0.0
CCK,Malay,0.0
CHE,French,19.2
CHE,German,63.6
CHE,Italian,7.7
CHE,Romansh,0.6
CHL,Aimará,0.5
CHL,Araucan,9.6
CHL,Rapa nui,0.2
CHL,Spanish,89.7
CHN,Chinese,92.0
CHN,Dong,0.2
CHN,Hui,0.8
CHN,Mantšu,0.9
CHN,Miao,0.7
CHN,Mongolian,0.4
CHN,Puyi,0.2
CHN,Tibetan,0.4
CHN,Tujia,0.5
CHN,Uighur,0.6
CHN,Yi,0.6
CHN,Zhuang,1.4
CIV,Akan,30.0
CIV,Gur,11.7
CIV,Kru,10.5
CIV,Malinke,11.4
CIV,[South]Mande,7.7
CMR,Bamileke-bamum,18.6
CMR,Duala,10.9
CMR,Fang,19.7
CMR,Ful,9.6
CMR,Maka,4.9
CMR,Mandara,5.7
CMR,Masana,3.9
CMR,Tikar,7.4
COD,Boa,2.3
COD,Chokwe,1.8
COD,Kongo,16.0
COD,Luba,18.0
COD,Mongo,13.5
COD,Ngala and Bangi,5.8
COD,Rundi,3.8
COD,Rwanda,10.3
COD,Teke,2.7
COD,Zande,6.1
COG,Kongo,51.5
COG,Mbete,4.8
COG,Mboshi,11.4
COG,Punu,2.9
COG,Sango,2.6
COG,Teke,17.3
COK,English,0.0
COK,Maori,0.0
COL,Arawakan,0.1
COL,Caribbean,0.1
COL,Chibcha,0.4
COL,Creole English,0.1
COL,Spanish,99.0
COM,Comorian,75.0
COM,Comorian-Arabic,1.6
COM,Comorian-French,12.9
COM,Comorian-madagassi,5.5
COM,Comorian-Swahili,0.5
CPV,Crioulo,100.0
CPV,Portuguese,0.0
CRI,Chibcha,0.3
CRI,Chinese,0.2
CRI,Creole English,2.0
CRI,Spanish,97.5
CUB,Spanish,100.0
CXR,Chinese,0.0
CXR,English,0.0
CYM,English,0.0
CYP,Greek,74.1
CYP,Turkish,22.4
CZE,Czech,81.2
CZE,German,0.5
CZE,Hungarian,0.2
CZE,Moravian,12.9
CZE,Polish,0.6
CZE,Romani,0.3
CZE,Silesiana,0.4
CZE,Slovak,3.1
DEU,German,91.3
DEU,Greek,0.4
DEU,Italian,0.7
DEU,Polish,0.3
DEU,Southern Slavic Languages,1.4
DEU,Turkish,2.6
DJI,Afar,34.8
DJI,Arabic,10.6
DJI,Somali,43.9
DMA,Creole English,100.0
DMA,Creole French,0.0
DNK,Arabic,0.7
DNK,Danish,93.5
DNK,English,0.3
DNK,German,0.5
DNK,Norwegian,0.3
DNK,Swedish,0.3
DNK,Turkish,0.8
DOM,Creole French,2.0
DOM,Spanish,98.0
DZA,Arabic,86.0
DZA,Berberi,14.0
ECU,Ketšua,7.0
ECU,Spanish,93.0
EGY,Arabic,98.8
EGY,Sinaberberi,0.0
ERI,Afar,4.3
ERI,Bilin,3.0
ERI,Hadareb,3.8
ERI,Saho,3.0
ERI,Tigre,31.7
ERI,Tigrinja,49.1
ESH,Arabic,100.0
ESP,Basque,1.6
ESP,Catalan,16.9
ESP,Galecian,6.4
ESP,Spanish,74.4
EST,Belorussian,1.4
EST,Estonian,65.3
EST,Finnish,0.7
EST,Russian,27.8
EST,Ukrainian,2.8
ETH,Amhara,30.0
ETH,Gurage,4.7
ETH,Oromo,31.0
ETH,Sidamo,3.2
ETH,Somali,4.1
ETH,Tigrinja,7.2
ETH,Walaita,2.8
FIN,Estonian,0.2
FIN,Finnish,92.7
FIN,Russian,0.4
FIN,Saame,0.0
FIN,Swedish,5.7
FJI,Fijian,50.8
FJI,Hindi,43.7
FLK,English,0.0
FRA,Arabic,2.5
FRA,French,93.6
FRA,Italian,0.4
FRA,Portuguese,1.2
FRA,Spanish,0.4
FRA,Turkish,0.4
FRO,Danish,0.0
FRO,Faroese,100.0
FSM,Kosrean,7.3
FSM,Mortlock,7.6
FSM,Pohnpei,23.8
FSM,Trukese,41.6
FSM,Wolea,3.7
FSM,Yap,5.8
GAB,Fang,35.8
GAB,Mbete,13.8
GAB,Mpongwe,14.6
GAB,Punu-sira-nzebi,17.1
GBR,English,97.3
GBR,Gaeli,0.1
GBR,Kymri,0.9
GEO,Abhyasi,1.7
GEO,Armenian,6.8
GEO,Azerbaijani,5.5
GEO,Georgiana,71.7
GEO,Osseetti,2.4
GEO,Russian,8.8
GHA,Akan,52.4
GHA,Ewe,11.9
GHA,Ga-adangme,7.8
GHA,Gurma,3.3
GHA,Joruba,1.3
GHA,Mossi,15.8
GIB,Arabic,7.4
GIB,English,88.9
GIN,Ful,38.6
GIN,Kissi,6.0
GIN,Kpelle,4.6
GIN,Loma,2.3
GIN,Malinke,23.2
GIN,Susu,11.0
GIN,Yalunka,2.9
GLP,Creole French,95.0
GLP,French,0.0
GMB,Diola,9.2
GMB,Ful,16.2
GMB,Malinke,34.1
GMB,Soninke,7.6
GMB,Wolof,12.6
GNB,Balante,14.6
GNB,Crioulo,36.4
GNB,Ful,16.6
GNB,Malinke,6.9
GNB,Mandyako,4.9
GNB,Portuguese,8.1
GNQ,Bubi,8.7
GNQ,Fang,84.8
GRC,Greek,98.5
GRC,Turkish,0.9
GRD,Creole English,100.0
GRL,Danish,12.5
GRL,Greenlandic,87.5
GTM,Cakchiquel,8.9
GTM,Kekchí,4.9
GTM,Mam,2.7
